source_id,issuer,document_type,title,period_start,period_end,document_date,published_date,financial_scope,audit_status,source_page_url,direct_url,local_path,file_size_bytes,sha256,retrieved_at,status,license_code,model_role,notes
"DMX_FS_2024_C","DMX","financial_statement","Audited consolidated financial statements FY2024","2024-01-01","2024-12-31","","2026-05-22","consolidated","audited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/93/e5/93e558113d3fa242567df336db5e4af6.pdf","data/raw/dmx/dmx_fy2024_audited_consolidated.pdf","18398516","1e37e8ba89af4c92a357093efed00fb7b5b3a88c37e8266f457158a2fdd2dd03","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","historical_actuals","Published as an IPO support document; use the consolidated version as the canonical FY2024 DMX source."
"DMX_FS_2024_S","DMX","financial_statement","Audited separate financial statements FY2024","2024-01-01","2024-12-31","","2026-05-22","separate","audited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/5005777/8d/73/8d73e19f4b6631918d6f45d6bd606a45.pdf","data/raw/dmx/dmx_fy2024_audited_separate.pdf","12026745","06683e2640c3bc369c3f0adeec9b0a7a309903754ae6c39f6cf390423da1323e","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Do not substitute this parent-only statement for consolidated operating results."
"DMX_FS_2025_C","DMX","financial_statement","Audited consolidated financial statements FY2025","2025-01-01","2025-12-31","","2026-05-22","consolidated","audited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/08/af/08af79013e9b9bdb210eb476e2fa7b95.pdf","data/raw/dmx/dmx_fy2025_audited_consolidated.pdf","20364614","ba4e4adf9d17842724c74d9fd8a26ad11eeab5831a3241d98e49dae19ba977aa","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","historical_actuals","Reported FY2025 perimeter is not automatically comparable with the post-restructuring perimeter; see docs/data_scope.md."
"DMX_FS_2025_S","DMX","financial_statement","Audited separate financial statements FY2025","2025-01-01","2025-12-31","","2026-05-22","separate","audited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/b1/42/b14248010f5fd9d93ed4cee69e4abf6e.pdf","data/raw/dmx/dmx_fy2025_audited_separate.pdf","12463025","aed9361d0dc8ded8e7efddb360d7b4e16383df58c7d143cfaca4a761a2976be9","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Parent-only statement."
"DMX_FS_2026Q1_C","DMX","financial_statement","Consolidated financial statements Q1 2026","2026-01-01","2026-03-31","","2026-05-22","consolidated","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/4c/a6/4ca68b110ac2a2b3cf125bd9a83d8648.pdf","data/raw/dmx/dmx_q1_2026_consolidated.pdf","6474813","96f1d486a8d8229d2b93a0b57fd5d156f4bf9a0c68e40f0d16be07c1a38fde11","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","latest_financial_actuals","Canonical Q1 consolidated source."
"DMX_FS_2026Q1_C_ALT","DMX","financial_statement","Consolidated financial statements Q1 2026 - IPO appendix copy","2026-01-01","2026-03-31","","2026-05-22","consolidated","unaudited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/61/a9/61a969bb3dd46ac7b68985973ff17278.pdf","data/raw/dmx/dmx_q1_2026_consolidated_ipo_appendix.pdf","6198112","272a3eb203cf9bba5b8fe72574ea292315360dcaccc8dc15059c3290754131c1","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","cross_check_only","Alternate official attachment with a different binary hash; do not ingest twice."
"DMX_FS_2026Q1_S","DMX","financial_statement","Separate financial statements Q1 2026","2026-01-01","2026-03-31","","2026-05-22","separate","unaudited","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/75/4b/754b6cbe18174d2b93638f3906ac9049.pdf","data/raw/dmx/dmx_q1_2026_separate.pdf","5461586","614a9f49986de35a1b57642a6d634e2533c9d48ceebf613f1aab755c6bcf760e","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","legal_entity_reconciliation","Parent-only quarterly statement."
"DMX_DATA_2026Q1","DMX","data_pack","Official Excel data pack Q1 2026","2026-01-01","2026-03-31","","","consolidated_data_pack","unaudited","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/6b/e5/6be50a510e272451464dae07771401ca.xlsx","data/raw/dmx/dmx_q1_2026_data_pack.xlsx","181654","04740bac2d95d61ca9449c7f536083856ae3dad4e78581eba8382c256c3e79f5","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","machine_readable_actuals","Contains official statement tables and management-data worksheets; validate every imported number against the signed PDF."
"DMX_PRESENTATION_2026Q1","DMX","investor_presentation","Q1 2026 analyst meeting presentation","2026-01-01","2026-03-31","2026-04-01","2026-04-20","management_presentation","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/14/08/14086bfefcd1c1e015cf96645bd1a41a.pdf","data/raw/dmx/dmx_q1_2026_analyst_presentation.pdf","528699","dd2ea885957bd7570c155ad6926bd527cfeeab96d7b5aa0949b20e20f80f8aa7","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","operating_drivers","Management material; not audited and not an offer."
"DMX_RESULTS_2026H1","DMX","business_results","Business results 6M 2026","2026-01-01","2026-06-30","","","management_presentation","unaudited","https://www.dmx.vn/eng/reports","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/5006021/b5/ee/b5ee17c283b469b12b3b435d00da8aa4.pdf","data/raw/dmx/dmx_business_results_6m_2026.pdf","269453","2ecfac9ff4e116a96475c6f9d8db46877ca80e70ba57832d8f2a5b8e1f1d2197","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","latest_operating_kpis","Not a financial statement. DMX pages displayed inconsistent issue labels during verification; no publication date is asserted here."
"DMX_IPO_PROSPECTUS_2026","DMX","prospectus","Prospectus for the initial public offering","","","2026-05-21","2026-05-22","issuer_and_offering","not_applicable","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/0/ef/37/ef3790e5d182d164edb4c68ffe55b0c0.pdf","data/raw/dmx/dmx_prospectus_2026.pdf","37082562","95706fe4010e92fef57c2f012c894f1405258352023f1387ef1e10408d99f896","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","ipo_terms_and_risks","Vietnamese-only prospectus per the official source page; image-based PDF."
"DMX_IPO_PRESENTATION_2026","DMX","ipo_presentation","DMX IPO presentation","","2026-05-31","2026-05-31","2026-06-01","post_restructuring_group","unaudited","https://www.dmx.vn/eng/announcements","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/6/5005889/4a/f4/4af4a4152a74661a28063a23b4d6747f.pdf","data/raw/dmx/dmx_ipo_presentation_2026.pdf","3127796","8679f98ec38d770d978ac05458d31da641c02aacb3aafd26ffe14e470b005857","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","ownership_perimeter_and_guidance","Page 3 is the canonical post-restructuring SOTP perimeter as of 31 May 2026."
"DMX_IPO_TERMS_2026","DMX","transaction_summary","Key IPO transaction details","","","","2026-05-22","offering","not_applicable","https://www.dmx.vn/eng/announcements","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/5005818/d8/6b/d86b5d707c2c0b5baea9dbcffafaaa50.pdf","data/raw/dmx/dmx_ipo_key_transaction_details_2026.pdf","11484193","a4a4c69eb3bdd2e9611041ef11e305a0a9e6030264fbbc5c748cc8f8021a6c06","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","ipo_terms","Use final result documents for shares actually issued and proceeds actually raised."
"DMX_IPO_CERT_2026","SSC/DMX","regulatory_certificate","Certificate 106/GCN-UBCK for initial public offering","","","2026-05-21","2026-05-22","offering","not_applicable","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/36/9c/369ced42a2e9bec57b09d0dfaefb6a57.pdf","data/raw/dmx/dmx_ipo_registration_certificate_106_2026.pdf","2956009","23652b517cffade315da1c38661d0570db6fb37266929e17237589d9b690e365","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","regulatory_evidence","DMX-hosted copy of the SSC certificate."
"DMX_IPO_NOTICE_2026","DMX","offering_notice","Notice of public offering of shares","","","","2026-05-22","offering","not_applicable","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/2a/b0/2ab0508437fb54487cd6b3ab3852c288.pdf","data/raw/dmx/dmx_ipo_public_offering_notice_2026.pdf","1464181","80d73ce9372b8858405b8de4e42262512179edfbaef8e153595924d3f58d5cfe","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","initial_offering_terms","Superseded for actual shares and proceeds by the final IPO result resolution."
"DMX_CAPITAL_AUDIT_2026","DMX","assurance_report","Audit report on paid-in charter capital","","","","2026-05-22","paid_in_capital","audited","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/b4/b5/b4b5fbaa200e6a5807867c6b9dae43f7.pdf","data/raw/dmx/dmx_share_capital_audit_2026.pdf","9041718","77455b960f71fd2824375425714cbcf48f684028a4147b43645abdab7be73676","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","capital_reconciliation","Assurance evidence for pre-offering paid-in capital."
"DMX_VALUATION_CERT_2026","DMX","valuation_certificate","VIVC valuation certificate","","","","2026-05-22","issuer_valuation","third_party_valuation","https://www.dmx.vn/cong-bo-thong-tin/cbtt-thong-bao-chao-ban-co-phieu-ra-cong-chung-va-cac-tai-lieu-lien-quan-cua-ctcp-dau-tu-dien-may-xanh-5005813","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/5/0/5f/32/5f32b9ce8b1da1fac7ce6c156d37795d.pdf","data/raw/dmx/dmx_valuation_certificate_2026.pdf","9740796","cc76610baa9ee4394adb4cfee3e6619bbed1a5d4ac260894c5d64b021d7166c5","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","valuation_cross_check","External valuation certificate disclosed by DMX; do not treat as an independent investment recommendation."
"DMX_IPO_RESULT_2026","DMX","board_resolution","Resolution 14/NQ/HDQT/DMX-2026 approving IPO results","","","2026-06-30","2026-07-01","offering_result","not_applicable","https://www.dmx.vn/eng/news/dien-may-xanh-completes-landmark-ipo-raising-more-than-vnd-13-315-billion-and-lifting-charter-capital-to-vnd-12-677-billion-5002485","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/0/f1/08/f108ca2a7399d9a70674915a4b2cf651.pdf","data/raw/dmx/dmx_board_resolution_ipo_result_2026.pdf","192067","e5ab76d51290fbfc654283b27ff91da7d5a91b9b20626f881e9618c71c56eeed","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","final_share_count_and_proceeds","Canonical final IPO-result source: 166438500 shares issued and 1267722000 post-offering shares outstanding."
"DMX_IPO_PROCEEDS_2026","DMX","board_resolution","Resolution 15/NQ/HDQT/DMX-2026 on adjusted use of IPO proceeds","","","2026-07-07","2026-07-08","use_of_proceeds","not_applicable","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/0/38/65/38651afbcd5d099f0e968015b88da8ee.pdf","data/raw/dmx/dmx_ipo_proceeds_adjustment_2026.pdf","225148","e582f26449f095dd6c7f23571da732c26a561306b747dbffbaa88bc92e997c5b","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","net_debt_bridge","Actual gross proceeds; estimated issue costs/net proceeds; planned debt-repayment allocation remains pro forma until disbursement is evidenced."
"DMX_SSC_RESULT_COPY_2026","SSC/DMX","regulatory_notice","SSC receipt of IPO result - DMX-hosted copy","","","2026-07-03","2026-07-03","offering_result","not_applicable","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/0/e6/ff/e6ff0ba1ae569e1fb939a4eca902d6ee.pdf","data/raw/dmx/dmx_ssc_ipo_result_receipt_copy_2026.pdf","257878","45920a4b9187a89df017c55170393d5d9f7ff74a79e2cf1950682e3b205c05ef","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","regulatory_cross_check","Cross-check against the official SSC web notice SSC_IPO_RESULT_2026."
"DMX_PUBLIC_COMPANY_2026","SSC/DMX","regulatory_notice","SSC confirmation of completion of public-company registration","","","2026-07-10","2026-07-10","public_company_status","not_applicable","https://www.dmx.vn/eng","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/7/0/a2/bf/a2bf3cf7b7c38f796058a8947beef169.pdf","data/raw/dmx/dmx_public_company_registration_completion_2026.pdf","2349527","54d57213b72b0f74eae38760231d94464573d0fd6538e5a471e2b36fd9a3dd27","2026-07-13T17:07:18+07:00","downloaded_verified","DMX_PERSONAL_NONCOMMERCIAL_NO_REDISTRIBUTION","regulatory_status","DMX-hosted regulatory document."
"SSC_IPO_RESULT_2026","SSC","regulatory_notice","SSC receipt of DMX initial public offering result","","","2026-07-03","2026-07-03","offering_result","not_applicable","https://ssc.gov.vn/webcenter/portal/ubck/pages_r/l/chitit?dDocName=APPSSCGOVVN1620168640","https://ssc.gov.vn/webcenter/portal/ubck/pages_r/l/chitit?dDocName=APPSSCGOVVN1620168640","","","","2026-07-13T17:07:18+07:00","link_verified","SSC_NO_EXPLICIT_REUSE_LICENSE","regulatory_confirmation","Official SSC page confirms 166438500 shares distributed and receipt of report 29/DMX-2026 dated 30 June 2026."
"MWG_FS_2021_C","MWG","financial_statement","Audited consolidated financial statements FY2021","2021-01-01","2021-12-31","","2022-03-21","consolidated","audited","https://mwg.vn/bao-cao","https://cdnv2-tmdt.tgdd.vn/mwgvn/ir/2022/3/20220320---mwg---bao-cao-tai-chinh-hop-nhat-soat-xet-nam-2021_compressed-1.pdf","data/raw/mwg/mwg_fy2021_audited_consolidated.pdf","8576281","9dcd0f5a101d67711bf543d4d333986e436fe493fd0b9b308ef7441bc62c8fda","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","historical_parent_actuals","Use for MWG group history; not a post-restructuring DMX standalone history."
"MWG_FS_2022_C","MWG","financial_statement","Audited consolidated financial statements FY2022","2022-01-01","2022-12-31","","2023-03-16","consolidated","audited","https://mwg.vn/bao-cao","https://cdnv2-tmdt.tgdd.vn/mwgvn/ir/2023/3/20230316---mwg---bao-cao-tai-chinh-hop-nhat-soat-xet-nam-2022-1.pdf","data/raw/mwg/mwg_fy2022_audited_consolidated.pdf","9848502","7b82c6338b1c41bf37b7217dcad13bbde22088eb0e65a2701a474d51a41445b1","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","historical_parent_actuals","Use for MWG group history."
"MWG_FS_2023_C","MWG","financial_statement","Audited consolidated financial statements FY2023","2023-01-01","2023-12-31","","2024-03-20","consolidated","audited","https://mwg.vn/bao-cao","https://cdnv2-tmdt.tgdd.vn/mwgvn/ir/2024/3/20240320---mwg---bctc-hop-nhat-kiem-toan-nam-2023-2.pdf","data/raw/mwg/mwg_fy2023_audited_consolidated.pdf","18141401","aa1bf62a8dee9fa6511d4ff9d373c97907b9497cac2649ac77b9175d392c6863","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","historical_parent_actuals","Use for MWG group history."
"MWG_FS_2024_C","MWG","financial_statement","Audited consolidated financial statements FY2024","2024-01-01","2024-12-31","","2025-03-24","consolidated","audited","https://mwg.vn/bao-cao","https://cdnv2.tgdd.vn/mwgvn/investorrelations/files/posts/2025/3/0/82/1b/821b68c3835c8f3045f95798fa4df401.pdf","data/raw/mwg/mwg_fy2024_audited_consolidated.pdf","18716371","b9d0e4bd9e3938560bab10821bf3465a9af747238f15c69cda1ed4e2764f2c46","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","historical_parent_actuals","Use for MWG group history and reconciliation."
"MWG_FS_2025_C","MWG","financial_statement","Audited consolidated financial statements FY2025","2025-01-01","2025-12-31","2026-03-23","2026-03-23","consolidated","audited","https://mwg.vn/bao-cao","https://cdnv2.tgdd.vn/mwgvn/investorrelations/files/posts/2026/3/5679/8d/2c/8d2c28cb4822955f98e31dcfe587f1d7.pdf","data/raw/mwg/mwg_fy2025_audited_consolidated.pdf","6335991","c40e0d7fddc534ed9bc2eab6e336cec2db7c46b8207480fae8bb1e02c86eb350","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","latest_audited_parent_actuals","Canonical FY2025 MWG group source."
"MWG_AR_2025","MWG","annual_report","Annual report 2025","2025-01-01","2025-12-31","2026-03-23","2026-03-23","group_and_segments","includes_audited_financials","https://mwg.vn/bao-cao","https://cdnv2.tgdd.vn/mwgvn/investorrelations/files/posts/2026/3/5677/48/8a/488ab752e1224bcbd9dd5413be04179f.pdf","data/raw/mwg/mwg_annual_report_2025.pdf","23013904","e5fc0572582d98c668e06cf857ac48d62c27a6ae68a222e9ea36589461b9d5b0","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","segment_context_and_history","Contains five-year group highlights and the pre-IPO business overview; IPO presentation supersedes it for the post-restructuring perimeter."
"MWG_FS_2026Q1_C","MWG","financial_statement","Consolidated financial statements Q1 2026","2026-01-01","2026-03-31","","2026-04-24","consolidated","unaudited","https://mwg.vn/bao-cao","https://cdnv2-tmdt.tgdd.vn/mwgvn/investorrelations/files/posts/2026/4/5756/0e/a5/0ea5e2f1779d0542091a66894a69c808.pdf","data/raw/mwg/mwg_q1_2026_consolidated.pdf","15325049","f946008a5b857fcde56855879e4c4810fe96adc377f93ac4973a166b7fc69d03","2026-07-13T17:07:18+07:00","downloaded_verified","MWG_ANALYSIS_CITATION_WITH_SOURCE_AND_TIMESTAMP","latest_parent_quarter","Use for consolidated MWG reconciliation; not a substitute for DMX standalone Q1."
